ID,MC,FSI,USE,STr,SI,SR,ST,LAD,SB,SP
2,9.44,6.44,8.52,3.33,10,4.07,1,6.11,5.56,3
3,1.67,2,4.81,5,7.78,1.85,0,2.78,1.67,1
4,8.33,6.89,9.26,3.33,8.52,4.07,0,5.56,3.33,3
5,8.89,6.44,8.52,2.78,9.26,4.07,1,4.44,5.56,4
6,8.33,5.11,7.04,2.78,8.52,3.33,0,4.44,5,3
7,7.78,3.78,8.52,2.78,8.52,4.07,0,5,3.33,2
8,9.44,9.56,9.26,8.33,8.52,8.52,1,7.78,10,5
9,9.44,9.11,9.26,9.44,9.26,7.78,1,8.33,10,5
10,9.44,10,10,8.33,10,8.52,1,8.33,10,5
11,7.22,4.22,7.78,2.22,7.78,4.07,1,4.44,5,5
12,8.33,7.78,7.78,5,10,6.3,1,4.44,9.44,4
13,5,3.78,7.78,2.22,7.78,2.59,1,3.89,5,4
14,7.22,3.33,7.04,3.89,9.26,7.04,1,3.33,5,4
15,9.44,6.44,8.52,6.67,10,7.78,1,7.78,7.78,5
16,10,9.56,9.26,9.44,10,9.26,1,8.33,10,5
17,5,6.44,7.78,1.67,8.52,3.33,1,2.78,5,4
18,3.89,2.89,6.3,2.22,7.04,2.59,0,3.33,2.22,2
19,7.78,6,7.78,2.78,9.26,7.04,0,4.44,2.78,2
20,9.44,9.11,10,6.11,9.26,7.04,1,7.22,10,5
21,4.44,2.44,7.04,1.67,7.04,3.33,0,2.78,2.78,2
22,4.44,5.56,7.04,2.78,8.52,3.33,0,5.56,2.22,2
23,3.33,3.78,2.59,2.22,7.04,3.33,0,2.78,2.22,1
24,7.78,3.33,4.81,2.22,7.78,2.59,0,4.44,2.78,2
25,3.89,2.44,6.3,3.33,7.78,2.59,0,5,2.22,3
26,7.78,6.44,7.78,2.78,8.52,3.33,0,4.44,2.78,2
27,3.33,1.56,5.56,2.22,4.07,2.59,0,3.33,2.22,1
28,3.33,2,5.56,2.22,4.07,1.85,0,2.78,2.22,3
29,5.56,2.89,7.04,4.44,7.78,2.59,0,6.67,2.78,2
30,3.33,2,5.56,3.33,7.78,4.07,0,5.56,2.22,2
31,7.22,4.22,6.3,3.89,4.07,1.85,0,5.56,2.78,3
32,2.78,1.56,5.56,1.67,4.07,1.85,0,2.22,2.22,1
33,3.89,3.33,6.3,3.33,8.52,3.33,0,5,2.22,2
34,1.67,1.11,4.81,2.22,4.07,1.85,0,2.78,1.67,3
35,4.44,2.44,6.3,1.67,4.07,3.33,0,2.22,2.22,2
36,8.89,6.44,7.78,8.33,10,5.56,1,6.11,7.22,5
37,1.67,1.56,4.81,2.22,4.07,1.85,0,2.78,1.67,1
38,6.67,4.67,6.3,3.89,7.78,1.85,0,5,2.78,3
39,7.78,3.78,7.04,3.33,7.78,3.33,0,5,2.78,4
40,8.33,6,7.78,3.33,8.52,2.59,0,5,2.78,4
41,3.89,2.44,6.3,3.33,4.07,4.81,0,5.56,2.22,2
42,8.89,6.44,9.26,6.11,9.26,7.04,1,6.11,7.78,5
43,3.33,3.33,6.3,2.22,4.07,1.85,0,3.33,2.22,2
44,6.67,5.11,7.78,2.78,7.78,4.07,0,3.89,2.78,2
45,8.89,6,8.52,3.33,9.26,2.59,0,5,3.33,3
46,9.44,9.11,9.26,7.78,9.26,6.3,1,6.11,10,5
47,8.89,8.67,9.26,6.11,9.26,8.52,1,6.67,10,5
48,7.78,4.67,7.78,2.22,7.78,2.59,0,4.44,3.33,2
49,8.89,9.11,9.26,8.33,10,7.78,1,7.22,10,5
50,10,4.67,8.52,5,7.78,7.78,1,5.56,5.56,4
51,8.89,4.67,8.52,3.89,8.52,7.78,1,6.11,5.56,4
52,5,2.89,6.3,1.67,4.07,2.59,0,2.78,2.78,2
53,10,9.56,10,8.89,10,8.52,1,8.33,10,5
54,5,3.78,7.78,3.33,7.78,2.59,0,5,2.78,2
55,5,3.78,7.04,2.78,7.78,4.81,0,5.56,2.78,2
56,8.33,6.89,8.52,6.67,10,7.04,1,6.67,5,5
57,7.78,4.22,7.78,3.89,7.78,5.56,1,6.67,5,3
58,4.44,3.78,6.3,3.89,8.52,3.33,0,8.33,2.78,2
59,7.78,8.67,8.52,5,4.07,2.59,0,5,5,4
60,4.44,6.44,4.07,3.33,8.52,7.04,0,6.11,2.22,3
61,8.89,6.89,9.26,3.33,8.52,4.07,0,5.56,3.33,2
62,6.11,8.67,9.26,3.89,7.78,4.81,0,6.67,5.56,3
63,3.89,2.44,6.3,2.78,4.07,3.33,0,3.89,2.22,1
64,7.22,3.33,5.56,1.67,4.07,4.07,0,6.11,1.67,2
65,7.78,5.56,7.78,3.33,8.52,4.07,1,3.89,7.22,4
66,8.33,9.11,9.26,2.78,9.26,4.07,0,5.56,5.56,3
67,9.44,7.78,10,6.67,10,9.26,0,7.22,5.56,4
68,8.33,8.22,7.78,1.67,8.52,7.78,0,5,5,3
69,8.89,7.33,8.52,3.89,8.52,4.07,0,8.33,2.78,3
70,7.78,3.33,7.04,2.22,1.85,4.07,0,3.33,2.78,2
71,6.67,5.56,7.78,2.78,8.52,3.33,0,4.44,2.22,2
72,4.44,2.89,6.3,3.89,4.07,3.33,0,7.78,2.22,2
73,8.89,9.11,9.26,5,9.26,4.07,1,4.44,7.78,4
74,9.44,9.11,8.52,4.44,9.26,7.78,1,8.33,7.22,4
75,4.44,3.33,7.04,2.78,4.07,1.85,0,3.89,2.78,2
76,6.11,2,5.56,1.67,4.07,3.33,0,2.78,2.22,2
77,2.78,1.56,5.56,1.67,1.11,2.59,0,3.33,2.22,1
78,6.11,2.89,6.3,1.67,4.07,1.85,0,2.22,2.22,2
79,8.89,9.56,8.52,3.89,8.52,4.81,1,7.22,7.22,4
80,4.44,2.89,6.3,2.78,1.11,4.07,0,4.44,2.22,2
81,4.44,3.33,7.04,2.78,4.07,2.59,0,4.44,2.22,2
82,3.89,1.56,7.78,1.67,4.07,2.59,0,2.22,3.33,2
83,7.22,6,7.78,3.89,8.52,4.07,0,5.56,2.78,2
84,9.44,9.11,9.26,6.11,10,7.78,1,7.22,10,5
85,8.89,9.56,10,8.89,10,7.78,1,7.78,10,5
86,9.44,9.56,9.26,6.67,8.52,7.78,1,7.22,10,5
87,7.22,8.22,7.04,1.67,5.56,4.07,0,4.44,5,3
88,7.78,4.22,7.04,1.67,4.81,2.59,0,2.78,2.78,2
89,9.44,9.56,10,8.33,10,7.78,1,7.22,10,5
90,7.22,6.44,7.78,2.22,7.78,2.59,0,4.44,2.78,2
91,9.44,9.11,9.26,4.44,9.26,7.04,1,7.22,7.78,5
92,7.78,7.33,7.78,2.78,8.52,4.07,0,5,5,3
93,6.67,4.67,6.3,2.78,4.07,3.33,0,4.44,2.22,2
94,7.78,8.22,7.78,2.22,4.07,3.33,0,3.89,5,2
95,9.44,9.56,10,6.11,10,7.78,1,7.22,10,5
96,9.44,9.56,10,6.67,10,7.78,1,7.78,10,5
97,8.89,8.67,9.26,5.56,10,4.81,1,6.11,10,5
98,10,8.67,9.26,8.89,10,3.33,1,7.22,10,5
99,7.78,6.44,7.78,2.78,7.78,2.59,0,5,2.78,2
100,5,3.78,7.78,2.78,4.07,5.56,0,3.89,2.78,2
101,4.44,4.22,7.04,3.89,7.78,2.59,0,5.56,2.78,2
102,4.44,3.78,7.04,2.78,7.78,4.07,0,3.89,2.78,2
103,6.67,6.44,7.78,3.89,4.07,3.33,0,5.56,2.78,2
104,4.44,2.89,6.3,2.22,4.07,4.81,0,4.44,2.22,2
105,3.33,1.56,5.56,1.67,4.07,4.07,0,2.22,2.22,2
106,8.33,6.44,7.78,2.78,8.52,3.33,0,5,2.78,2
107,8.89,9.11,10,6.11,10,8.52,1,6.11,10,5
108,6.67,7.33,7.78,3.33,8.52,4.81,0,5,5,3
109,5,3.78,3.33,3.89,4.81,4.07,0,7.78,2.22,2
110,4.44,6.89,7.04,3.33,8.52,4.07,0,5.56,4.44,2
111,4.44,4.22,4.07,2.78,8.52,3.33,0,5,2.22,2
112,6.67,6.44,7.04,2.78,4.07,3.33,0,5,2.22,2
113,8.33,2.89,6.3,2.22,7.78,3.33,0,3.33,2.78,2
114,3.89,2.44,6.3,2.78,4.07,2.59,0,5.56,2.78,2
115,5,8.22,8.52,3.89,4.07,4.07,0,6.67,5.56,3
116,4.44,2.44,6.3,2.78,4.07,2.59,0,3.89,2.78,2
117,6.11,5.56,8.52,3.89,7.78,4.07,0,7.22,3.33,2
118,8.89,9.11,9.26,4.44,8.52,4.81,0,6.67,5.56,3
119,8.89,6.89,8.52,3.89,8.52,4.81,0,7.22,3.33,3
120,8.89,6.44,8.52,2.78,7.78,6.3,1,5.56,5.56,4
